wiki_id,wiki_titles,language,logo
Q15575,Flinders University,au,https://upload.wikimedia.org/wikipedia/en/3/3d/Flinders_University_Emblem_Variant_2022.svg
Q1475020,Furman University,us,https://upload.wikimedia.org/wikipedia/en/3/34/Furman_Logo.png
Q1537303,Gonzaga University,us,https://upload.wikimedia.org/wikipedia/en/6/65/Gonzaga_University_Logo.svg
Q1202292,Griffith University,au,https://upload.wikimedia.org/wikipedia/en/a/a9/Griffith_University_Logo_Variant_2022.svg
Q1558586,Hanken School of Economics,fi,https://upload.wikimedia.org/wikipedia/en/6/6d/Hanken_logo.svg
Q3232931,Harvard Library,us,https://upload.wikimedia.org/wikipedia/en/9/9d/Harvard_Library_Logo.svg
Q1657069,IFREMER,fr,https://upload.wikimedia.org/wikipedia/en/c/c8/Institut_fran%C3%A7ais_de_recherche_pour_l%27exploitation_de_la_mer_%28logo%29.svg
Q3152453,National Polytechnic Institute of Toulouse,fr,https://upload.wikimedia.org/wikipedia/en/f/fa/National_Polytechnic_Institute_of_Toulouse_%28logo%29.svg
Q350752,Islamic University of Indonesia,id,https://upload.wikimedia.org/wikipedia/en/2/24/Islamic_University_of_Indonesia_logo.png
Q1858061,Karlstad University,sv,https://upload.wikimedia.org/wikipedia/en/5/50/Karlstads_universitet_Logo.svg
Q1463036,King Abdullah University of Science and Technology,sa,https://upload.wikimedia.org/wikipedia/en/7/70/KAUST_Logo.svg
Q3335261,Kwantlen Polytechnic University,fr,https://upload.wikimedia.org/wikipedia/en/b/b5/Kwantlen_Polytechnic_University_CoA.svg
Q6475773,Lake Erie College,us,https://upload.wikimedia.org/wikipedia/en/b/b5/Lake_Erie_College_logo.svg
Q262854,Lancaster University,gb,https://upload.wikimedia.org/wikipedia/en/7/78/Lancaster_University_logo.svg
Q6485363,Lane Community College,us,https://upload.wikimedia.org/wikipedia/en/4/42/Lane_Community_College_logo.svg
Q1627967,Liverpool John Moores University,gb,https://upload.wikimedia.org/wikipedia/en/1/19/LJMU2020Logo.gif
Q977781,Malmö University,sv,https://upload.wikimedia.org/wikipedia/en/c/cb/Malm%C3%B6_University_Logo.svg
Q1888771,Manchester Metropolitan University,gb,https://upload.wikimedia.org/wikipedia/en/9/94/Manchester_Metropolitan_University_logo.svg
Q1134606,Massey University,nz,https://upload.wikimedia.org/wikipedia/en/5/5e/Massey_University_Logo.svg
Q158085,Max Planck Society,de,https://upload.wikimedia.org/wikipedia/en/b/b7/Logo_of_the_Max_Planck_Society.png
Q632891,McMaster University,fr,https://upload.wikimedia.org/wikipedia/en/5/50/McMasterCoA.png
Q598841,Monash University,au,https://upload.wikimedia.org/wikipedia/en/7/74/Monash_University_logo-en.svg
Q6924935,Mountain Empire Community College,us,https://upload.wikimedia.org/wikipedia/en/a/a0/Mountain_Empire_Community_College.png
Q3551457,Mount Saint Vincent University,fr,https://upload.wikimedia.org/wikipedia/en/d/d0/Mount_Saint_Vincent_University_Logo.svg
Q6930281,Mt. Hood Community College,us,https://upload.wikimedia.org/wikipedia/en/6/6f/Mt._Hood_Community_College_logo.png
Q30289533,MDPI,de,https://upload.wikimedia.org/wikipedia/en/9/9f/MDPI-logo.png
Q2601879,Maynooth University,ie,https://upload.wikimedia.org/wikipedia/en/d/d9/Maynooth_University_logo.png
Q837164,Newcastle University,gb,https://upload.wikimedia.org/wikipedia/en/2/2b/Newcastle_University_logo.svg
Q219555,New York Public Library,us,https://upload.wikimedia.org/wikipedia/en/7/7c/New_York_Public_Library_logo.svg
Q6421119,Nipissing University,fr,https://upload.wikimedia.org/wikipedia/en/f/f4/NipU-CofA.gif
Q21079372,Nord University,no,https://upload.wikimedia.org/wikipedia/en/9/9d/Nord_University_logo.svg
Q624970,Northern Michigan University,us,https://upload.wikimedia.org/wikipedia/en/3/3b/NMU_Stack_Transparent.png
Q818846,Novo Nordisk,da,https://upload.wikimedia.org/wikipedia/en/b/b1/Novo_Nordisk_-_Logo.svg
Q644478,University of Galway,ie,https://upload.wikimedia.org/wikipedia/en/9/91/Crest_of_NUI%2C_Galway.png
Q282097,Oregon Health & Science University,us,https://upload.wikimedia.org/wikipedia/en/f/ff/OHSU-Logo.png
Q3378846,Philadelphia College of Osteopathic Medicine,us,https://upload.wikimedia.org/wikipedia/en/3/3c/Philadelphia_College_of_Osteopathic_Medicine_logo.png
Q1771717,Portland State University,us,https://upload.wikimedia.org/wikipedia/en/b/b3/Portland_State_University_Logo.svg
Q1144750,Queensland University of Technology,au,https://upload.wikimedia.org/wikipedia/en/e/e7/Queensland_University_of_Technology_logo.svg
Q7370121,Roswell Park Comprehensive Cancer Center,us,https://upload.wikimedia.org/wikipedia/en/3/32/Roswell_Park_Comprehensive_Cancer_Center_Logo.png
Q2424299,International School for Advanced Studies,it,https://upload.wikimedia.org/wikipedia/en/8/85/SISSA_official_logo.svg
Q3485305,SirsiDynix,us,https://upload.wikimedia.org/wikipedia/en/b/bc/SirsiDynix_2010_logo.svg
Q220144,SOAS University of London,gb,https://upload.wikimedia.org/wikipedia/en/b/be/SOAS_University_of_London_logo%2C_October_2020.png
Q221645,Stockholm University,sv,https://upload.wikimedia.org/wikipedia/en/8/8f/Stockholms_Universitet_logo.svg
Q1420500,Swansea University,gb,https://upload.wikimedia.org/wikipedia/en/1/1d/Swansea_University_logo.png
Q7654827,Swedish Research Council,sv,https://upload.wikimedia.org/wikipedia/en/6/6e/Vetenskapsr%C3%A5det_logo.svg
Q310695,Technische Universität Darmstadt,de,https://upload.wikimedia.org/wikipedia/en/a/a2/Athene_logo_sw.svg
Q1343885,Monterrey Institute of Technology and Higher Education,mx,https://upload.wikimedia.org/wikipedia/en/6/68/ITESM_wordmark%2C_2014.png
Q1495387,Texas State University,us,https://upload.wikimedia.org/wikipedia/en/b/b9/Texas_State_University_logo.svg
Q941731,Evergreen State College,us,https://upload.wikimedia.org/wikipedia/en/7/7d/Evergreen_PRI_RGB.svg
Q326044,Francis Crick Institute,gb,https://upload.wikimedia.org/wikipedia/en/4/49/The_Francis_Crick_Institute_logo.png
Q319078,University of Melbourne,au,https://upload.wikimedia.org/wikipedia/en/a/ab/The_University_of_Melbourne_Logo.png
Q866012,University of Queensland,au,https://upload.wikimedia.org/wikipedia/en/8/8c/Logo_of_the_University_of_Queensland.svg
Q1517021,University of Western Australia,au,https://upload.wikimedia.org/wikipedia/en/5/5e/The_University_of_Western_Australia_logo.svg
Q2420769,Thieme Medical Publishers,de,https://upload.wikimedia.org/wikipedia/en/e/e0/Thieme_logo.png
Q7792702,Virginia Peninsula Community College,us,https://upload.wikimedia.org/wikipedia/en/7/71/Thomas_Nelson_CC_logo.svg
Q3551501,Thompson Rivers University,fr,https://upload.wikimedia.org/wikipedia/en/7/7f/Thompson_Rivers_University_Logo.svg
Q7800875,Tidewater Community College,us,https://upload.wikimedia.org/wikipedia/en/5/56/Tidewater_Community_College.svg
Q3075124,Trent University,fr,https://upload.wikimedia.org/wikipedia/en/0/0a/Trent_University_Logo.svg
Q258464,Trinity College Dublin,ie,https://upload.wikimedia.org/wikipedia/en/e/eb/Trinity_College_Dublin_logo.svg
Q279724,The Arctic University of Norway,no,https://upload.wikimedia.org/wikipedia/en/1/1f/UiT_The_Arctic_University_of_Norway_logo.svg
Q1144565,Umeå University,sv,https://upload.wikimedia.org/wikipedia/en/a/ae/Ume%C3%A5_University_Logo.svg
Q508048,University for Continuing Education Krems,de,https://upload.wikimedia.org/wikipedia/en/4/44/Danube_University_Krems_Logo.png
Q4032,Claude Bernard University Lyon 1,fr,https://upload.wikimedia.org/wikipedia/en/d/d3/Claude_Bernard_University_Lyon_1_%28logo%29.svg
Q1538727,University of Angers,fr,https://upload.wikimedia.org/wikipedia/en/5/5c/University_of_Angers_logo.png
Q1857334,University of Western Brittany,fr,https://upload.wikimedia.org/wikipedia/en/5/51/Universit%C3%A9_de_Bretagne_occidentale_%28logo%29.svg
Q776223,University of Montpellier,fr,https://upload.wikimedia.org/wikipedia/en/9/9f/University_of_Montpellier_logo.png
Q304872,University of Perpignan Via Domitia,fr,https://upload.wikimedia.org/wikipedia/en/f/f0/University_of_Perpignan.png
Q726595,University of Rennes 1,fr,https://upload.wikimedia.org/wikipedia/en/5/56/University_of_Rennes_1_%28logo%29.svg
Q16682075,University of the French Antilles,gp,https://upload.wikimedia.org/wikipedia/en/e/e1/University_of_the_French_West_Indies.png
Q20669873,Toulouse University Group,fr,https://upload.wikimedia.org/wikipedia/en/8/81/Federal_University_of_Toulouse_Midi-Pyr%C3%A9n%C3%A9es.png
Q13334,University of Orléans,fr,https://upload.wikimedia.org/wikipedia/en/f/fc/University_of_Orl%C3%A9ans.svg
Q459026,Rennes 2 University,fr,https://upload.wikimedia.org/wikipedia/en/f/f7/University_of_Rennes_2_%E2%80%93_Upper_Brittany.png
Q2496158,Université Savoie Mont Blanc,fr,https://upload.wikimedia.org/wikipedia/en/2/21/University_of_Savoy.svg
Q1933558,University of Toulouse-Jean Jaurès,fr,https://upload.wikimedia.org/wikipedia/en/3/3b/Toulouse-Jean_Jaur%C3%A8s_logo.png
Q7894635,University College Absalon,da,https://upload.wikimedia.org/wikipedia/en/7/70/University_College_Absalon_logo.png
Q1574185,University College Cork,ie,https://upload.wikimedia.org/wikipedia/en/0/09/University_College_Cork_logo.svg
